bin_size,num_child_counts
1,20489696
2,7747594
4,8218215
8,5559744
16,5659028
32,2575928
64,1078682
128,724808
256,317321
512,207800
1024,123985
2048,45041
4096,19295
8192,16550
16384,7565
32768,1914
65536,2670
131072,644
262144,261
524288,201
1048576,98
2097152,20
4194304,2
8388608,6
16777216,1
33554432,0
67108864,0
134217728,0
268435456,0
536870912,0
1073741824,0
2147483648,0
4294967296,0
8589934592,0
17179869184,0
34359738368,0
68719476736,0
137438953472,0
274877906944,0
549755813888,0
1099511627776,0
2199023255552,0
4398046511104,0
8796093022208,0
17592186044416,0
35184372088832,0
70368744177664,0
140737488355328,0
281474976710656,0
562949953421312,0
1125899906842624,0
2251799813685248,0
4503599627370496,0
9007199254740992,0
18014398509481984,0
36028797018963968,0
72057594037927936,0
144115188075855872,0
288230376151711744,0
576460752303423488,0

