bin_size,num_files,num_dirs,num_symlinks,num_blks,num_chrs,num_fifos,num_socks
1,28284682,0,3707,0,0,54597,813
2,766003,0,9749,0,0,0,0
4,1111210,0,53849,0,0,0,0
8,4375240,0,450214,0,0,0,0
16,2736296,0,1317214,0,0,0,0
32,6079258,0,5169991,0,0,0,0
64,7380342,0,3967995,0,0,0,0
128,14103432,0,42311135,0,0,0,0
256,38757659,0,5500059,0,0,0,0
512,42424500,0,527,0,0,0,0
1024,78729170,0,2,0,0,0,0
2048,74541981,0,0,0,0,0,0
4096,120684197,96434664,0,0,0,0,0
8192,167342165,0,0,0,0,0,0
16384,126655051,1643628,0,0,0,0,0
32768,135812113,566436,0,0,0,0,0
65536,90345431,353812,0,0,0,0,0
131072,98025771,142694,0,0,0,0,0
262144,73399543,195000,0,0,0,0,0
524288,74068117,58371,0,0,0,0,0
1048576,49273930,27820,0,0,0,0,0
2097152,73154247,8453,0,0,0,0,0
4194304,31177363,4761,0,0,0,0,0
8388608,29162525,5242,0,0,0,0,0
16777216,22945717,1285,0,0,0,0,0
33554432,27565889,464,0,0,0,0,0
67108864,12104484,304,0,0,0,0,0
134217728,8495609,132,0,0,0,0,0
268435456,4796959,28,0,0,0,0,0
536870912,2283090,15,0,0,0,0,0
1073741824,1991430,5,0,0,0,0,0
2147483648,1701047,0,0,0,0,0,0
4294967296,650519,0,0,0,0,0,0
8589934592,312171,0,0,0,0,0,0
17179869184,142044,0,0,0,0,0,0
34359738368,31929,0,0,0,0,0,0
68719476736,14729,0,0,0,0,0,0
137438953472,7781,0,0,0,0,0,0
274877906944,3078,0,0,0,0,0,0
549755813888,1746,0,0,0,0,0,0
1099511627776,808,0,0,0,0,0,0
2199023255552,460,0,0,0,0,0,0
4398046511104,532,0,0,0,0,0,0
8796093022208,13,0,0,0,0,0,0
17592186044416,22,0,0,0,0,0,0
35184372088832,0,0,0,0,0,0,0
70368744177664,0,0,0,0,0,0,0
140737488355328,0,0,0,0,0,0,0
281474976710656,0,0,0,0,0,0,0
562949953421312,3,0,0,0,0,0,0
1125899906842624,0,0,0,0,0,0,0
2251799813685248,0,0,0,0,0,0,0
4503599627370496,0,0,0,0,0,0,0
9007199254740992,0,0,0,0,0,0,0
18014398509481984,0,0,0,0,0,0,0
36028797018963968,0,0,0,0,0,0,0
72057594037927936,0,0,0,0,0,0,0
144115188075855872,0,0,0,0,0,0,0
288230376151711744,0,0,0,0,0,0,0
576460752303423488,0,0,0,0,0,0,0
